,Eads pred (eV),Elements
0,-3.7134029865264893,Ru_Rh
1,-2.7682018280029297,Ru_Rh
2,-2.6845436096191406,Ru_Rh
3,-2.4243602752685547,Ru_Rh
4,-2.7194628715515137,Ru_Rh
5,-2.653451442718506,Ru_Rh
6,-2.723916530609131,Ru_Rh
7,-4.242612361907959,Ru_Rh
8,-3.011993646621704,Ru_Rh
9,-3.3478260040283203,Ru_Rh
10,-2.816342830657959,Ru_Rh
11,-3.648939609527588,Ru_Rh
12,-3.5250747203826904,Ru_Rh
13,-3.461547613143921,Ru_Rh
14,-3.0460734367370605,Ru_Rh
15,-3.4516725540161133,Ru_Rh
16,-4.251102924346924,Ru_Rh
17,-3.5098204612731934,Ru_Rh
18,-3.267289400100708,Ru_Rh
19,-3.7001953125,Ru_Rh
20,-3.542621612548828,Ru_Rh
21,-3.113956928253174,Ru_Rh
22,-3.8472723960876465,Ru_Rh
23,-4.04156494140625,Ru_Rh
24,-3.8110058307647705,Ru_Rh
25,-3.084941864013672,Ru_Rh
26,-4.026741027832031,Ru_Rh
27,-3.800544500350952,Ru_Rh
28,-3.5459749698638916,Ru_Rh
29,-3.3170955181121826,Ru_Rh
30,-2.588249683380127,Ru_Rh
31,-2.761418581008911,Ru_Rh
32,-3.9586541652679443,Ru_Rh
33,-3.4539804458618164,Ru_Rh
34,-3.796876907348633,Ru_Rh
35,-3.2797985076904297,Ru_Rh
36,-2.166195869445801,Ru_Rh
37,-3.3995909690856934,Ru_Rh
38,-3.341423749923706,Ru_Rh
39,-2.3708810806274414,Ru_Rh
40,-3.2183871269226074,Ru_Rh
41,-2.2948737144470215,Ru_Rh
42,-2.7234179973602295,Ru_Rh
43,-3.744755268096924,Ru_Rh
44,-3.45686936378479,Ru_Rh
45,-2.6845693588256836,Ru_Rh
46,-3.383251667022705,Ru_Rh
47,-2.7084498405456543,Ru_Rh
48,-3.976748466491699,Ru_Rh
49,-3.952023506164551,Ru_Rh
50,-3.5090584754943848,Ru_Rh
