1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,COCOH,COH,CO,Eads (Ry),Eads (eV)
4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7188362,-45.92508793,-44.85,0.05625173,0.765
4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,4,11,4,11,4,11,-90.77753061,-45.96367122,-44.85,0.03614061,0.492
4,11,5,8,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,5,8,-90.76481861,-46.00551694,-44.85,0.09069833,1.234
5,8,4,11,4,11,4,11,5,8,4,11,4,11,5,8,4,11,5,8,4,11,4,11,4,11,-90.78523704,-45.95751718,-44.85,0.02228014,0.303
4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,5,8,4,11,-90.85076706,-46.0537578,-44.85,0.05299074,0.721
4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7317241,-45.94398398,-44.85,0.06225988,0.847
4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.69708008,-45.91220061,-44.85,0.06512053,0.886
4,11,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7063819,-45.92700267,-44.85,0.07062077,0.961
4,11,5,8,5,8,4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,-90.70242927,-45.9165735,-44.85,0.06414423,0.873
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,-90.79269863,-46.01693316,-44.85,0.07423453,1.010
4,11,4,11,5,8,4,11,5,8,5,8,4,11,5,8,5,8,4,11,5,8,5,8,4,11,-90.80126509,-46.0109071,-44.85,0.05964201,0.811
4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,4,11,5,8,-90.85214634,-46.05789347,-44.85,0.05574713,0.758
5,8,4,11,4,11,4,11,4,11,4,11,5,8,4,11,5,8,5,8,4,11,4,11,4,11,-90.79015694,-45.97992316,-44.85,0.03976622,0.541
4,11,4,11,5,8,4,11,4,11,4,11,5,8,5,8,4,11,5,8,4,11,4,11,5,8,-90.78859509,-45.98734509,-44.85,0.04875,0.663
4,11,5,8,4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,-90.7054526,-45.92085242,-44.85,0.06539982,0.890
4,11,4,11,4,11,5,8,4,11,4,11,4,11,4,11,5,8,5,8,4,11,4,11,4,11,-90.79717048,-45.98790752,-44.85,0.04073704,0.554
4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,5,8,4,11,-90.79223018,-46.01061655,-44.85,0.06838637,0.930
4,11,4,11,5,8,4,11,4,11,4,11,4,11,4,11,4,11,4,11,4,11,5,8,4,11,-90.77885802,-45.96822699,-44.85,0.03936897,0.536
